epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,283.763,0.73798,1.0363,1.17217,0.55586,0.56675,0.57313,0.33152,1.25358,2.7217,1.83972,0.0011882,0.0011882,0.0011882
43,290.439,0.7418,1.14905,1.11111,0.69047,0.58491,0.69676,0.40561,1.28188,2.4563,1.81343,0.0011684,0.0011684,0.0011684
44,297.161,0.73708,1.11091,1.13566,0.71434,0.84906,0.82015,0.57817,1.00167,2.1438,1.58242,0.0011486,0.0011486,0.0011486
45,303.841,0.74202,1.14521,1.18355,0.71434,0.84906,0.82015,0.57817,1.00167,2.1438,1.58242,0.0011288,0.0011288,0.0011288
46,310.645,0.78571,1.04583,1.14241,0.74374,0.76671,0.79267,0.58909,0.94949,2.04585,1.48628,0.001109,0.001109,0.001109
47,317.37,0.81849,1.06545,1.19726,0.72913,0.71111,0.78079,0.61044,0.83703,2.05155,1.36486,0.0010892,0.0010892,0.0010892
48,324.096,0.7547,1.07326,1.18972,0.82552,0.80354,0.83627,0.64184,0.76206,1.91532,1.25399,0.0010694,0.0010694,0.0010694
49,330.771,0.70887,1.06782,1.15834,0.82552,0.80354,0.83627,0.64184,0.76206,1.91532,1.25399,0.0010496,0.0010496,0.0010496
50,337.502,0.71806,1.026,1.16045,0.84633,0.84906,0.90211,0.69722,0.75714,1.69342,1.21299,0.0010298,0.0010298,0.0010298
51,344.15,0.77987,1.15442,1.19441,0.9354,0.79245,0.9319,0.72672,0.76576,1.53942,1.30359,0.00101,0.00101,0.00101
52,350.998,0.70917,0.97693,1.11135,0.94107,0.79245,0.94085,0.73735,0.77803,1.49377,1.41632,0.0009902,0.0009902,0.0009902
53,357.815,0.67115,0.94448,1.05814,0.94107,0.79245,0.94085,0.73735,0.77803,1.49377,1.41632,0.0009704,0.0009704,0.0009704
54,364.493,0.67148,0.92795,1.08127,0.85089,0.86792,0.92159,0.74995,0.67068,1.54474,1.22745,0.0009506,0.0009506,0.0009506
55,371.256,0.71327,0.90894,1.1541,0.82506,0.88988,0.9009,0.74101,0.62205,1.62106,1.11592,0.0009308,0.0009308,0.0009308
56,377.908,0.64744,0.86526,1.07039,0.89761,0.88679,0.91923,0.75551,0.60719,1.51692,1.06651,0.000911,0.000911,0.000911
57,384.496,0.704,0.99603,1.10241,0.89761,0.88679,0.91923,0.75551,0.60719,1.51692,1.06651,0.0008912,0.0008912,0.0008912
58,391.048,0.71027,0.96033,1.10337,0.88025,0.84906,0.92567,0.78496,0.61159,1.46293,1.06219,0.0008714,0.0008714,0.0008714
59,397.707,0.68576,0.88992,1.05683,0.79814,0.98113,0.95063,0.81531,0.58051,1.36736,1.05462,0.0008516,0.0008516,0.0008516
60,404.418,0.78755,1.00333,1.18028,0.87885,0.95816,0.96116,0.81702,0.57566,1.34642,1.04379,0.0008318,0.0008318,0.0008318
61,411.076,0.72639,0.92263,1.1192,0.87885,0.95816,0.96116,0.81702,0.57566,1.34642,1.04379,0.000812,0.000812,0.000812
62,417.764,0.63879,0.91649,1.06082,0.94815,0.9434,0.98579,0.8376,0.58964,1.30748,1.03745,0.0007922,0.0007922,0.0007922
63,424.416,0.67895,0.89038,1.11672,0.94525,0.98113,0.98882,0.83084,0.61218,1.28644,1.04556,0.0007724,0.0007724,0.0007724
64,430.982,0.75131,0.98072,1.16912,0.87257,0.98113,0.97483,0.84709,0.52633,1.26022,0.99785,0.0007526,0.0007526,0.0007526
65,437.615,0.64992,0.84873,1.05624,0.87257,0.98113,0.97483,0.84709,0.52633,1.26022,0.99785,0.0007328,0.0007328,0.0007328
66,444.286,0.62152,0.86857,1.0883,0.88072,0.96226,0.96429,0.86409,0.46404,1.23196,0.95048,0.000713,0.000713,0.000713
67,450.893,0.60824,0.76522,1.02341,0.89492,0.92453,0.96998,0.87907,0.44304,1.16382,0.93124,0.0006932,0.0006932,0.0006932
68,457.521,0.63476,0.84294,1.07976,0.93896,0.90566,0.97159,0.8779,0.45696,1.13715,0.9399,0.0006734,0.0006734,0.0006734
69,464.098,0.65225,0.85476,1.07615,0.93896,0.90566,0.97159,0.8779,0.45696,1.13715,0.9399,0.0006536,0.0006536,0.0006536
70,470.735,0.57617,0.79393,1.04352,0.94947,0.92453,0.97328,0.87806,0.45345,1.08482,0.95257,0.0006338,0.0006338,0.0006338
71,477.381,0.64051,0.78401,1.08047,0.95316,0.98113,0.9898,0.90631,0.4272,0.99765,0.94615,0.000614,0.000614,0.000614
72,484.056,0.62069,0.84008,1.06777,0.97728,0.98113,0.99265,0.91444,0.41615,0.93648,0.93032,0.0005942,0.0005942,0.0005942
73,490.601,0.59821,0.79931,1.04087,0.97728,0.98113,0.99265,0.91444,0.41615,0.93648,0.93032,0.0005744,0.0005744,0.0005744
